trade_day,month,serial,sandp,corn
22-Jul-16,7/1/2016,42552,2175,335
25-Jul-16,7/1/2016,42552,2168.5,334.75
26-Jul-16,7/1/2016,42552,2169.2,332.5
27-Jul-16,7/1/2016,42552,2166.6,335.75
28-Jul-16,7/1/2016,42552,2170.1,331.25
29-Jul-16,7/1/2016,42552,2173.6,334.5
1-Aug-16,8/1/2016,42583,2170.8,325.75
2-Aug-16,8/1/2016,42583,2157,324.25
3-Aug-16,8/1/2016,42583,2163.8,325
4-Aug-16,8/1/2016,42583,2164.3,320.75
5-Aug-16,8/1/2016,42583,2182.9,324.25
8-Aug-16,8/1/2016,42583,2180.9,325.25
9-Aug-16,8/1/2016,42583,2181.7,322.25
10-Aug-16,8/1/2016,42583,2175.5,322.5
11-Aug-16,8/1/2016,42583,2185.8,321
12-Aug-16,8/1/2016,42583,2184.1,322.25
15-Aug-16,8/1/2016,42583,2190.2,326.5
16-Aug-16,8/1/2016,42583,2178.2,327.5
17-Aug-16,8/1/2016,42583,2182.2,330.25
18-Aug-16,8/1/2016,42583,2187,332
19-Aug-16,8/1/2016,42583,2183.9,334.25
22-Aug-16,8/1/2016,42583,2182.6,333.25
23-Aug-16,8/1/2016,42583,2186.9,328.5
24-Aug-16,8/1/2016,42583,2175.4,327.5
25-Aug-16,8/1/2016,42583,2172.5,323.5
26-Aug-16,8/1/2016,42583,2169,316.25
29-Aug-16,8/1/2016,42583,2180.4,311.75
30-Aug-16,8/1/2016,42583,2176.1,304
31-Aug-16,8/1/2016,42583,2171,301.5
1-Sep-16,9/1/2016,42614,2170.9,311
2-Sep-16,9/1/2016,42614,2180,316.5
6-Sep-16,9/1/2016,42614,2186.5,316.75
7-Sep-16,9/1/2016,42614,2186.2,321
8-Sep-16,9/1/2016,42614,2181.3,327
9-Sep-16,9/1/2016,42614,2127.8,330
12-Sep-16,9/1/2016,42614,2159,329.25
13-Sep-16,9/1/2016,42614,2127,319.25
14-Sep-16,9/1/2016,42614,2125.8,322.25
15-Sep-16,9/1/2016,42614,2147.3,330
16-Sep-16,9/1/2016,42614,2139.2,337
19-Sep-16,9/1/2016,42614,2139.1,337.25
20-Sep-16,9/1/2016,42614,2139.8,340.5
21-Sep-16,9/1/2016,42614,2163.1,340
22-Sep-16,9/1/2016,42614,2177.2,336.75
23-Sep-16,9/1/2016,42614,2164.7,336.5
26-Sep-16,9/1/2016,42614,2146.1,329
27-Sep-16,9/1/2016,42614,2159.9,331.75
28-Sep-16,9/1/2016,42614,2171.4,329.25
29-Sep-16,9/1/2016,42614,2151.1,329.25
30-Sep-16,9/1/2016,42614,2168.3,336.75
3-Oct-16,10/1/2016,42644,2161.2,346
4-Oct-16,10/1/2016,42644,2150.5,348.25
5-Oct-16,10/1/2016,42644,2159.7,347.75
6-Oct-16,10/1/2016,42644,2160.8,340.5
7-Oct-16,10/1/2016,42644,2153.7,339.75
10-Oct-16,10/1/2016,42644,2163.7,343.25
11-Oct-16,10/1/2016,42644,2136.7,345.5
12-Oct-16,10/1/2016,42644,2139.2,337
13-Oct-16,10/1/2016,42644,2132.6,349.5
14-Oct-16,10/1/2016,42644,2133,354.25
17-Oct-16,10/1/2016,42644,2126.5,354
18-Oct-16,10/1/2016,42644,2139.6,353.75
19-Oct-16,10/1/2016,42644,2144.3,357.5
20-Oct-16,10/1/2016,42644,2141.3,351
21-Oct-16,10/1/2016,42644,2141.2,352.5
24-Oct-16,10/1/2016,42644,2151.3,348.25
25-Oct-16,10/1/2016,42644,2143.2,349.25
26-Oct-16,10/1/2016,42644,2139.4,354
27-Oct-16,10/1/2016,42644,2133,357.5
28-Oct-16,10/1/2016,42644,2126.4,355
31-Oct-16,10/1/2016,42644,2126.2,354.75
1-Nov-16,11/1/2016,42675,2111.7,349
2-Nov-16,11/1/2016,42675,2097.9,346.25
3-Nov-16,11/1/2016,42675,2088.7,348
4-Nov-16,11/1/2016,42675,2085.2,348.75
7-Nov-16,11/1/2016,42675,2131.5,346.25
8-Nov-16,11/1/2016,42675,2139.6,354.25
9-Nov-16,11/1/2016,42675,2163.3,340.75
10-Nov-16,11/1/2016,42675,2167.5,343.5
11-Nov-16,11/1/2016,42675,2164.5,340.25
14-Nov-16,11/1/2016,42675,2164.2,337.25
15-Nov-16,11/1/2016,42675,2180.4,341.5
16-Nov-16,11/1/2016,42675,2176.9,338.5
17-Nov-16,11/1/2016,42675,2187.1,342
18-Nov-16,11/1/2016,42675,2181.9,345.5
21-Nov-16,11/1/2016,42675,2198.2,349.75
22-Nov-16,11/1/2016,42675,2202.9,351
23-Nov-16,11/1/2016,42675,2204.7,350.75
25-Nov-16,11/1/2016,42675,2213.4,349.25
28-Nov-16,11/1/2016,42675,2201.7,348.5
29-Nov-16,11/1/2016,42675,2204.7,336.75
30-Nov-16,11/1/2016,42675,2198.8,336.75
1-Dec-16,12/1/2016,42705,2191.1,331.75
2-Dec-16,12/1/2016,42705,2192,337.5
5-Dec-16,12/1/2016,42705,2204.7,349.5
6-Dec-16,12/1/2016,42705,2212.2,351
7-Dec-16,12/1/2016,42705,2241.4,350.5
8-Dec-16,12/1/2016,42705,2246.2,346.5
9-Dec-16,12/1/2016,42705,2259.5,352.5
12-Dec-16,12/1/2016,42705,2257,354.5
13-Dec-16,12/1/2016,42705,2271.7,356.25
14-Dec-16,12/1/2016,42705,2253.3,351.75
15-Dec-16,12/1/2016,42705,2262,356.5
16-Dec-16,12/1/2016,42705,2258.1,356.25
19-Dec-16,12/1/2016,42705,2262.5,353.25
20-Dec-16,12/1/2016,42705,2270.8,350.25
21-Dec-16,12/1/2016,42705,2265.2,347.25
22-Dec-16,12/1/2016,42705,2261,347.25
23-Dec-16,12/1/2016,42705,2263.8,345.75
27-Dec-16,12/1/2016,42705,2268.9,355
28-Dec-16,12/1/2016,42705,2249.9,348.25
