Date,Region,Cash,Contract,Futures
1/29/2015,North,3.94,Sep,3.95
2/5/2015,North,4.08,Sep,4.08
2/12/2015,North,4.06,Sep,4.05
2/19/2015,North,4.13,Sep,4.12
2/26/2015,North,4.03,Sep,4.04
3/5/2015,North,4.16,Sep,4.06
3/12/2015,North,4.14,Sep,4.03
3/19/2015,North,3.99,Sep,3.9
3/26/2015,North,4.16,Sep,4.07
4/2/2015,North,4.09,Sep,4.02
4/9/2015,North,4.16,Sep,3.94
4/16/2015,North,4.01,Sep,3.91
4/23/2015,North,3.96,Sep,3.84
4/30/2015,North,3.87,Sep,3.73
5/7/2015,North,3.89,Sep,3.67
5/14/2015,North,3.96,Sep,3.75
5/21/2015,North,4,Sep,3.72
5/28/2015,North,3.89,Sep,3.6
6/4/2015,North,3.93,Sep,3.7
6/11/2015,North,3.86,Sep,3.63
6/18/2015,North,3.88,Sep,3.64
6/25/2015,North,4.12,Sep,3.83
1/7/2016,Central,3.68,Dec,3.79
1/14/2016,Central,3.75,Dec,3.82
1/21/2016,Central,3.82,Dec,3.89
1/28/2016,Central,3.81,Dec,3.88
2/4/2016,Central,3.83,Dec,3.91
2/11/2016,Central,3.63,Dec,3.83
2/18/2016,Central,3.76,Dec,3.87
2/25/2016,Central,3.64,Dec,3.8
3/3/2016,Central,3.67,Dec,3.76
3/10/2016,Central,3.77,Dec,3.81
3/17/2016,Central,3.56,Dec,3.87
3/24/2016,Central,3.57,Dec,3.87
3/31/2016,Central,3.3,Dec,3.69
4/7/2016,Central,3.45,Dec,3.74
4/14/2016,Central,3.83,Dec,3.86
4/21/2016,Central,3.68,Dec,3.94
4/28/2016,Central,3.7,Dec,3.95
5/5/2016,Central,3.43,Dec,3.82
5/12/2016,Central,3.58,Dec,3.96
5/19/2016,Central,3.54,Dec,3.9725
5/26/2016,Central,3.78,Dec,4.0975
6/2/2016,Central,3.68,Dec,4.1675
6/9/2016,Central,3.71,Dec,4.335
6/16/2016,Central,3.6,Dec,4.3575
6/23/2016,Central,3.28,Dec,3.9775
6/30/2016,Central,2.97,Dec,3.7125
1/7/2016,Central,3.68,Jul,3.65
1/14/2016,Central,3.75,Jul,3.68
1/21/2016,Central,3.82,Jul,3.77
1/28/2016,Central,3.81,Jul,3.75
2/4/2016,Central,3.83,Jul,3.79
2/11/2016,Central,3.63,Jul,3.7
2/18/2016,Central,3.76,Jul,3.74
2/25/2016,Central,3.64,Jul,3.66
3/3/2016,Central,3.67,Jul,3.61
3/10/2016,Central,3.77,Jul,3.68
3/17/2016,Central,3.56,Jul,3.73
3/24/2016,Central,3.57,Jul,3.75
3/31/2016,Central,3.3,Jul,3.56
4/7/2016,Central,3.45,Jul,3.64
4/14/2016,Central,3.83,Jul,3.78
4/21/2016,Central,3.68,Jul,3.9
4/28/2016,Central,3.7,Jul,3.91
5/5/2016,Central,3.43,Jul,3.74
5/12/2016,Central,3.58,Jul,3.89
5/19/2016,Central,3.54,Jul,3.9
5/26/2016,Central,3.78,Jul,4.0825
6/2/2016,Central,3.68,Jul,4.1525
6/9/2016,Central,3.71,Jul,4.265
6/16/2016,Central,3.6,Jul,4.2525
6/23/2016,Central,3.28,Jul,3.8725
6/30/2016,Central,2.97,Jul,3.5875
1/7/2016,Central,3.68,Sep,3.7
1/14/2016,Central,3.75,Sep,3.74
1/21/2016,Central,3.82,Sep,3.81
1/28/2016,Central,3.81,Sep,3.8
2/4/2016,Central,3.83,Sep,3.84
2/11/2016,Central,3.63,Sep,3.75
2/18/2016,Central,3.76,Sep,3.79
2/25/2016,Central,3.64,Sep,3.72
3/3/2016,Central,3.67,Sep,3.67
3/10/2016,Central,3.77,Sep,3.72
3/17/2016,Central,3.56,Sep,3.78
3/24/2016,Central,3.57,Sep,3.79
3/31/2016,Central,3.3,Sep,3.61
4/7/2016,Central,3.45,Sep,3.67
4/14/2016,Central,3.83,Sep,3.8
4/21/2016,Central,3.68,Sep,3.89
4/28/2016,Central,3.7,Sep,3.91
5/5/2016,Central,3.43,Sep,3.76
5/12/2016,Central,3.58,Sep,3.92
5/19/2016,Central,3.54,Sep,3.925
5/26/2016,Central,3.78,Sep,4.105
6/2/2016,Central,3.68,Sep,4.1575
6/9/2016,Central,3.71,Sep,4.305
6/16/2016,Central,3.6,Sep,4.305
6/23/2016,Central,3.28,Sep,3.925
6/30/2016,Central,2.97,Sep,3.655
1/7/2016,East,3.54,Dec,3.79
1/14/2016,East,3.58,Dec,3.82
1/21/2016,East,3.67,Dec,3.89
1/28/2016,East,3.66,Dec,3.88
2/4/2016,East,3.7,Dec,3.91
2/11/2016,East,3.61,Dec,3.83
2/18/2016,East,3.66,Dec,3.87
2/25/2016,East,3.55,Dec,3.8
3/3/2016,East,3.52,Dec,3.76
3/10/2016,East,3.57,Dec,3.81
3/17/2016,East,3.62,Dec,3.87
3/24/2016,East,3.63,Dec,3.87
3/31/2016,East,3.43,Dec,3.69
4/7/2016,East,3.53,Dec,3.74
4/14/2016,East,3.64,Dec,3.86
4/21/2016,East,3.75,Dec,3.94
4/28/2016,East,3.74,Dec,3.95
5/5/2016,East,3.57,Dec,3.82
5/12/2016,East,3.71,Dec,3.96
5/19/2016,East,3.71,Dec,3.9725
5/26/2016,East,3.89,Dec,4.0975
6/2/2016,East,3.96,Dec,4.1675
6/9/2016,East,4.08,Dec,4.335
6/16/2016,East,4.05,Dec,4.3575
6/23/2016,East,3.64,Dec,3.9775
6/30/2016,East,3.37,Dec,3.7125
1/7/2016,East,3.54,Jul,3.65
1/14/2016,East,3.58,Jul,3.68
1/21/2016,East,3.67,Jul,3.77
1/28/2016,East,3.66,Jul,3.75
2/4/2016,East,3.7,Jul,3.79
2/11/2016,East,3.61,Jul,3.7
2/18/2016,East,3.66,Jul,3.74
2/25/2016,East,3.55,Jul,3.66
3/3/2016,East,3.52,Jul,3.61
3/10/2016,East,3.57,Jul,3.68
3/17/2016,East,3.62,Jul,3.73
3/24/2016,East,3.63,Jul,3.75
3/31/2016,East,3.43,Jul,3.56
4/7/2016,East,3.53,Jul,3.64
4/14/2016,East,3.64,Jul,3.78
4/21/2016,East,3.75,Jul,3.9
4/28/2016,East,3.74,Jul,3.91
5/5/2016,East,3.57,Jul,3.74
5/12/2016,East,3.71,Jul,3.89
5/19/2016,East,3.71,Jul,3.9
5/26/2016,East,3.89,Jul,4.0825
6/2/2016,East,3.96,Jul,4.1525
6/9/2016,East,4.08,Jul,4.265
6/16/2016,East,4.05,Jul,4.2525
6/23/2016,East,3.64,Jul,3.8725
6/30/2016,East,3.37,Jul,3.5875
1/7/2016,East,3.54,Sep,3.7
1/14/2016,East,3.58,Sep,3.74
1/21/2016,East,3.67,Sep,3.81
1/28/2016,East,3.66,Sep,3.8
2/4/2016,East,3.7,Sep,3.84
2/11/2016,East,3.61,Sep,3.75
2/18/2016,East,3.66,Sep,3.79
2/25/2016,East,3.55,Sep,3.72
3/3/2016,East,3.52,Sep,3.67
3/10/2016,East,3.57,Sep,3.72
3/17/2016,East,3.62,Sep,3.78
3/24/2016,East,3.63,Sep,3.79
3/31/2016,East,3.43,Sep,3.61
4/7/2016,East,3.53,Sep,3.67
4/14/2016,East,3.64,Sep,3.8
4/21/2016,East,3.75,Sep,3.89
4/28/2016,East,3.74,Sep,3.91
5/5/2016,East,3.57,Sep,3.76
5/12/2016,East,3.71,Sep,3.92
5/19/2016,East,3.71,Sep,3.925
5/26/2016,East,3.89,Sep,4.105
6/2/2016,East,3.96,Sep,4.1575
6/9/2016,East,4.08,Sep,4.305
6/16/2016,East,4.05,Sep,4.305
6/23/2016,East,3.64,Sep,3.925
6/30/2016,East,3.37,Sep,3.655
1/7/2016,North,3.71,Dec,3.79
1/14/2016,North,3.76,Dec,3.82
1/21/2016,North,3.85,Dec,3.89
1/28/2016,North,3.83,Dec,3.88
2/4/2016,North,3.86,Dec,3.91
2/11/2016,North,3.78,Dec,3.83
2/18/2016,North,3.81,Dec,3.87
2/25/2016,North,3.71,Dec,3.8
3/3/2016,North,3.62,Dec,3.76
3/10/2016,North,3.63,Dec,3.81
